Labelz,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,azimuth,pitch,roll
0.0,-2.25232456614426,9.59716583578312,-0.599153126771148,-0.05375614,-0.027488936,0.007330383,108.586945,127.213455,6.4564195
0.0,-2.26394248398715,9.59251881422175,-0.59682954320257,-0.0571159,-0.021685716,0.003970624,108.03127,128.23631,6.963404
0.0,-2.27659284668549,9.58745882765502,-0.594299470662903,-0.053450707,-0.025350908,-0.00030543262,107.45698,129.27718,7.460723
0.0,-2.26263673838035,9.57972655632231,-0.617062627121981,-0.049785517,-0.03023783,0.0030543262,106.869545,130.33679,7.9505234
0.0,-2.23831085001015,9.5699959977674,-0.651118901321291,-0.0580322,-0.031154128,0.0009162979,106.26547,131.41692,8.434451
0.0,-2.22170991410578,9.56723,-0.664028395298073,-0.056199603,-0.035124753,0.0070249503,105.65535,132.49876,8.899316
0.0,-2.20791268332781,9.56723,-0.668627472224064,-0.04337143,-0.042455133,0.00061086525,105.02694,133.59749,9.35727
0.0,-2.19445827469104,9.56723,-0.673112275102988,-0.039095376,-0.044593163,-0.003970624,104.37087,134.73517,9.825149
0.0,-2.18088415038591,9.56723,-0.677636983204697,-0.043982297,-0.04550946,-0.0030543262,103.69847,135.8876,10.280552
0.0,-2.17076181478007,9.57040336865185,-0.658532933197362,-0.055588737,-0.03145956,0.003970624,103.01445,137.05574,10.726031
0.0,-2.16423274071657,9.57693240862737,-0.614461649180774,-0.046120327,-0.038789943,-0.007330383,102.30794,138.23526,11.157214
0.0,-2.15777919244,9.58338592321028,-0.5709001646203,-0.04642576,-0.034513887,-0.00580322,101.58961,139.44647,11.595539
0.0,-2.15120584463934,9.58995923669182,-0.526530032646679,-0.053145275,-0.03023783,-0.008246681,100.85221,140.67131,12.019897
0.0,-2.14464942503229,9.59651562206812,-0.482274166068393,-0.050701816,-0.029932396,-0.0030543262,100.11524,141.88416,12.385037
0.0,-2.13819848109321,9.60296653232715,-0.438730260799511,-0.049785517,-0.022296581,-0.0033597588,99.36703,143.11179,12.738212
0.0,-2.11861877852875,9.59703253727104,-0.554618026574591,-0.04642576,-0.021685716,-0.0015271631,98.6083,144.34879,13.071848
0.0,-2.08996426280733,9.58270552874914,-0.779077768067391,-0.04642576,-0.01740966,-0.004886922,97.83994,145.5975,13.391553
0.0,-2.09126341446413,9.56894929354245,-0.887205045391616,-0.04886922,-0.023518313,-0.0070249503,97.083015,146.83194,13.697584
0.0,-2.11441045779843,9.55506131890793,-0.914981405547488,-0.045814894,-0.024740042,-0.006414085,96.31788,148.07451,13.987581
0.0,-2.13510589462448,9.55486792642013,-0.795393412104461,-0.04550946,-0.020158553,-0.005192355,95.502975,149.38184,14.280798
0.0,-2.15341609363324,9.56860038448342,-0.525317790311666,-0.03756821,-0.015577064,0.00061086525,94.68141,150.693,14.551592
0.0,-2.13990721370126,9.58495733869593,-0.455610515004262,-0.034513887,-0.013439035,0.003970624,93.86825,151.99312,14.775035
0.0,-2.07860171054762,9.60539236415939,-0.68550591711059,-0.044898596,-0.015882496,0.0021380284,93.05049,153.30074,14.9773245
0.0,-2.05313271197657,9.6064898159102,-0.729576944147389,-0.044898596,-0.009162978,0.00030543262,92.281395,154.54767,15.145114
0.0,-2.06017299203514,9.59006264280137,-0.605198572445583,-0.040927973,-0.0021380284,0.0030543262,91.5092,155.80225,15.292157
0.0,-2.0671081095754,9.57388084670571,-0.482678073254758,-0.02565634,-0.0009162979,0.010079277,90.68629,157.12228,15.452115
0.0,-2.074179237306,9.55738169633968,-0.357754725616398,-0.04062254,-0.00030543262,0.003970624,89.85997,158.45317,15.591833
0.0,-2.07413004858195,9.55009541247885,-0.277211814078018,-0.03359759,-0.004581489,0.003970624,89.4523252197471,159.109482378085,15.6454192143287
0.0,-2.06459232200219,9.55486412638073,-0.25336748020002,-0.039095376,-0.0018325958,0.0036651916,89.04123,159.77135,15.699459
0.0,-2.05515752052941,9.55958137934123,-0.22978045927754,-0.03726278,-0.0009162979,0.0106901415,88.22451,161.09485,15.784861
0.0,-2.04561788792915,9.56435104622351,-0.20593136034481,-0.042760566,0.0036651916,0.0030543262,87.44981,162.36716,15.845365
0.0,-2.03608188538415,9.57289699026961,-0.182091337543077,-0.041233405,0.00030543262,0.005192355,86.692406,163.62914,15.890388
0.0,-2.02633812718427,9.58751293279951,-0.157731926781877,-0.04062254,0.004276057,0.0021380284,85.93525,164.89539,15.918448
0.0,-2.02246522129083,9.58892476789645,-0.154206235092014,-0.04428773,0.008246681,0.0012217305,85.18314,166.16302,15.936141
0.0,-2.02671773537026,9.57191435634411,-0.179721337330281,-0.05009095,0.0009162979,-0.0009162979,84.433975,167.4315,15.930467
0.0,-2.03176360301771,9.55543212639405,-0.204814449863328,-0.04428773,0.0009162979,0.003970624,83.70174,168.68945,15.902488
0.0,-2.04241891865296,9.53944937546468,-0.231452755640717,-0.044898596,-0.002443461,0.012217305,82.97597,169.94974,15.850674
0.0,-2.05651064614507,9.52821558208955,-0.268096867261147,-0.054367006,-0.003970624,0.0106901415,82.25645,171.20834,15.774823
0.0,-2.07969476262953,9.52589712686567,-0.330693892197452,-0.04520403,0.0009162979,0.014966198,81.550316,172.45862,15.679236
0.0,-2.10529607248788,9.52333694776119,-0.399817329904459,-0.031154128,0.00061086525,0.014049901,80.853546,173.70534,15.556233
0.0,-2.12516166925563,9.52135035074627,-0.453454364426752,-0.04520403,-0.004581489,0.01038471,80.16871,174.95361,15.414375
0.0,-2.14361815812607,9.52093264739645,-0.517355038735198,-0.03634648,-0.010079277,0.0033597588,79.49185,176.19077,15.269308
0.0,-2.12866390990227,9.53588694767051,-0.609572970447283,-0.037873644,-0.009162978,0.00061086525,78.82798,177.42976,15.1062155
0.0,-2.11378691390455,9.55076399544961,-0.701314513082372,-0.034208454,-0.005497787,-0.002443461,78.173965,178.66447,14.897962
0.0,-2.09892477410414,9.56562618697968,-0.792964442433425,-0.033292156,-0.005497787,-0.0070249503,77.53446,179.89404,14.672986
0.0,-2.08184975751634,9.58388008605665,-0.887847183224401,-0.03268129,-0.007941248,-0.0070249503,77.2190371478347,1.09987855649578,14.5570252119462
0.0,-2.05795507700535,9.61255368270945,-0.992983438146168,-0.04153884,-0.016798794,-0.005497787,76.901535,-178.87291,14.4403
0.0,-2.03665277567177,9.641750989791,-1.09398257335067,-0.04062254,-0.018325957,-0.004276057,76.284294,-177.65045,14.195093
0.0,-2.02286174094192,9.67392978281807,-1.18592285288452,-0.058948494,-0.010079277,-0.007941248,75.65683,-176.40118,13.938917
0.0,-2.00681503655892,9.70058599949336,-1.26989099209646,-0.052839845,-0.017715093,-0.01740966,75.02913,-175.15031,13.668734
0.0,-1.97752860186442,9.69570533478569,-1.3089396226568,-0.043676864,-0.00061086525,-0.014966198,74.424164,-173.90938,13.39404
0.0,-1.95589564454473,9.7013794953544,-1.34149534818158,-0.052534413,0.00580322,-0.011911872,73.82,-172.65874,13.103815
0.0,-1.96862488202814,9.75653934722591,-1.34573842734271,-0.04428773,0.007941248,-0.01985312,73.23592,-171.43118,12.804122
0.0,-1.98504681958148,9.81534437504066,-1.3481232836821,-0.05100725,0.012217305,-0.01282817,72.65672,-170.1974,12.504034
0.0,-2.0110266022986,9.80668426661607,-1.32647346475117,-0.05009095,0.019547688,-0.013133603,72.09735,-168.98569,12.192745
0.0,-2.04166844384615,9.79562609852071,-1.30099888718935,-0.056505036,0.017104227,-0.0106901415,71.56642,-167.78053,11.863203
0.0,-2.06535553923077,9.77667660029586,-1.28204924056213,-0.0580322,0.017104227,-0.008246681,71.0595,-166.59627,11.526899
0.0,-2.09181091229183,9.75673253677637,-1.26074940642347,-0.056199603,0.013744468,-0.008552114,70.58978,-165.43918,11.17066
